================ Training Loss (Sat Jun 20 21:34:55 2026) ================
[Rank 0] (epoch: 9, iters: 400, time: 0.019, data: 0.004) , G_GAN: 0.436, G_L1: 9.025, D_real: 0.173, D_fake: 0.421

[Rank 0] (epoch: 9, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.335, G_L1: 7.686, D_real: 0.331, D_fake: 0.118

[Rank 0] (epoch: 9, iters: 800, time: 0.004, data: 0.005) , G_GAN: 0.378, G_L1: 7.842, D_real: 0.168, D_fake: 0.307

[Rank 0] (epoch: 9, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.392, G_L1: 9.080, D_real: 0.443, D_fake: 0.255

[Rank 0] (epoch: 10, iters: 200, time: 0.018, data: 0.176) , G_GAN: 0.260, G_L1: 7.359, D_real: 0.314, D_fake: 0.147

[Rank 0] (epoch: 10, iters: 400, time: 0.003, data: 0.004) , G_GAN: 0.214, G_L1: 9.186, D_real: 0.278, D_fake: 0.232

[Rank 0] (epoch: 10, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.500, G_L1: 7.847, D_real: 0.154, D_fake: 0.231

[Rank 0] (epoch: 10, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.589, G_L1: 7.876, D_real: 0.144, D_fake: 0.241

[Rank 0] (epoch: 10, iters: 1000, time: 0.016, data: 0.004) , G_GAN: 0.575, G_L1: 9.263, D_real: 0.208, D_fake: 0.263

[Rank 0] (epoch: 11, iters: 200, time: 0.004, data: 0.177) , G_GAN: 0.402, G_L1: 10.116, D_real: 0.258, D_fake: 0.115

[Rank 0] (epoch: 11, iters: 400, time: 0.016, data: 0.004) , G_GAN: 0.159, G_L1: 7.018, D_real: 0.353, D_fake: 0.090

[Rank 0] (epoch: 11, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.441, G_L1: 9.956, D_real: 0.405, D_fake: 0.101

[Rank 0] (epoch: 11, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.575, G_L1: 10.854, D_real: 0.190, D_fake: 0.163

[Rank 0] (epoch: 11, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.521, G_L1: 8.542, D_real: 0.084, D_fake: 0.307

[Rank 0] (epoch: 12, iters: 200, time: 0.018, data: 0.177) , G_GAN: 0.801, G_L1: 9.525, D_real: 0.068, D_fake: 0.325

[Rank 0] (epoch: 12, iters: 400, time: 0.004, data: 0.003) , G_GAN: 0.233, G_L1: 7.315, D_real: 0.450, D_fake: 0.061

[Rank 0] (epoch: 12, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.650, G_L1: 8.104, D_real: 0.130, D_fake: 0.185

[Rank 0] (epoch: 12, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.487, G_L1: 8.079, D_real: 0.122, D_fake: 0.233

[Rank 0] (epoch: 12, iters: 1000, time: 0.017, data: 0.004) , G_GAN: 0.645, G_L1: 9.119, D_real: 0.116, D_fake: 0.225

[Rank 0] (epoch: 13, iters: 200, time: 0.004, data: 0.173) , G_GAN: 0.461, G_L1: 7.106, D_real: 0.107, D_fake: 0.207

[Rank 0] (epoch: 13, iters: 400, time: 0.018, data: 0.004) , G_GAN: 0.273, G_L1: 7.014, D_real: 0.461, D_fake: 0.061

[Rank 0] (epoch: 13, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.478, G_L1: 7.273, D_real: 0.154, D_fake: 0.120

[Rank 0] (epoch: 13, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.366, G_L1: 6.956, D_real: 0.238, D_fake: 0.128

[Rank 0] (epoch: 13, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.341, G_L1: 6.821, D_real: 0.252, D_fake: 0.252

[Rank 0] (epoch: 14, iters: 200, time: 0.018, data: 0.180) , G_GAN: 0.449, G_L1: 7.404, D_real: 0.089, D_fake: 0.262

[Rank 0] (epoch: 14, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.164, G_L1: 6.371, D_real: 0.489, D_fake: 0.116

[Rank 0] (epoch: 14, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.484, G_L1: 9.016, D_real: 0.067, D_fake: 0.153

[Rank 0] (epoch: 14, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.394, G_L1: 9.325, D_real: 0.222, D_fake: 0.227

[Rank 0] (epoch: 14, iters: 1000, time: 0.017, data: 0.004) , G_GAN: 0.564, G_L1: 8.464, D_real: 0.054, D_fake: 0.268

[Rank 0] (epoch: 15, iters: 200, time: 0.004, data: 0.167) , G_GAN: 0.219, G_L1: 7.302, D_real: 0.185, D_fake: 0.401

[Rank 0] (epoch: 15, iters: 400, time: 0.017, data: 0.004) , G_GAN: 0.397, G_L1: 9.442, D_real: 0.298, D_fake: 0.057

[Rank 0] (epoch: 15, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.364, G_L1: 9.653, D_real: 0.355, D_fake: 0.359

[Rank 0] (epoch: 15, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.685, G_L1: 10.275, D_real: 0.056, D_fake: 0.337

[Rank 0] (epoch: 15, iters: 1000, time: 0.004, data: 0.005) , G_GAN: 0.589, G_L1: 7.231, D_real: 0.102, D_fake: 0.224

[Rank 0] (epoch: 16, iters: 200, time: 0.070, data: 0.174) , G_GAN: 0.292, G_L1: 8.418, D_real: 0.156, D_fake: 0.303

[Rank 0] (epoch: 16, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.349, G_L1: 8.122, D_real: 0.302, D_fake: 0.218

[Rank 0] (epoch: 16, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.588, G_L1: 10.178, D_real: 0.138, D_fake: 0.165

[Rank 0] (epoch: 16, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.357, G_L1: 7.393, D_real: 0.585, D_fake: 0.073

[Rank 0] (epoch: 16, iters: 1000, time: 0.016, data: 0.004) , G_GAN: 0.297, G_L1: 8.045, D_real: 0.442, D_fake: 0.097

[Rank 0] (epoch: 17, iters: 200, time: 0.003, data: 0.175) , G_GAN: 0.215, G_L1: 7.574, D_real: 0.869, D_fake: 0.106

[Rank 0] (epoch: 17, iters: 400, time: 0.018, data: 0.004) , G_GAN: 0.412, G_L1: 6.678, D_real: 0.695, D_fake: 0.092

[Rank 0] (epoch: 17, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.404, G_L1: 7.299, D_real: 0.263, D_fake: 0.156

[Rank 0] (epoch: 17, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.441, G_L1: 8.946, D_real: 0.070, D_fake: 0.182

